"","Sites","TaxCode","Abundance","TaxonName","Taxon","Anemo","Auto","Entomo","Annual","Biennial","Perennial","Seasonnal","LFP","MinHeight","MaxHeight","BFP","Succu_ORDINAL","Spiki_ORDINAL","Hairy_ORDINAL","Clay","Silt","Sand","K2O","Mg","Na100g","K","Elev","X","Y"
"1",1,"sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"2",1,"sp33",0,"Stachys marrubiifolia","Stma",0,0,1,1,0,0,0,1.09861228866811,-2.30258509299405,-0.916290731874155,5,0,0,2,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"3",1,"sp32",0,"Mentha pulegium","Mepu",0,0,1,0,0,1,0,1.94591014905531,-2.30258509299405,-0.693147180559945,7,0,0,1,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"4",1,"sp53",0,"Chrozophora tinctoria","Chti",0,0,1,1,0,0,0,1.94591014905531,-2.30258509299405,-0.916290731874155,7,0,1,2,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"5",1,"sp15",0,"Avena fatua","Avfa",1,1,0,1,0,0,0,1.6094379124341,-0.510825623765991,0.405465108108164,6,0,0,1,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"6",1,"sp34",0,"Plantago coronopus","Plco",1,0,0,1,1,1,0,1.94591014905531,-3.91202300542815,-0.916290731874155,7,1,0,1,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"7",1,"sp17",0,"Hordeum marinum","Homa",1,0,0,1,0,0,0,1.94591014905531,-2.30258509299405,-0.916290731874155,7,0,0,1,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"8",1,"sp38",2,"Carlina racemosa","Cara",0,1,1,1,0,0,0,0.693147180559945,-2.30258509299405,-0.693147180559945,9.5,0,2,2,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"9",1,"sp51",0,"Lythrum tribracteatum","Lytr",0,0,1,1,0,0,0,1.6094379124341,-2.30258509299405,-1.6094379124341,7,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"10",1,"sp43",0,"Picris echioides","Piec",0,1,1,1,1,1,0,1.38629436111989,-1.20397280432594,0.78845736036427,7.5,0,1,2,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"11",1,"sp21",0,"Aeluropus littoralis","Aeli",1,0,0,0,0,1,0,1.79175946922805,-2.99573227355399,-1.38629436111989,5.5,0,0,1,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"12",1,"sp19",0,"Lolium multiflorum","Lomu",1,0,0,1,0,0,0,1.38629436111989,-1.20397280432594,0,6.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"13",1,"sp4",0,"Asphodelus aetivus","Asae",0,0,1,0,0,1,0,1.6094379124341,0,0.405465108108164,4,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"14",1,"sp18",1,"Lolium rigidum","Lori",1,0,0,1,0,0,0,1.38629436111989,-2.30258509299405,-0.510825623765991,6.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"15",1,"sp55",0,"Trifolium squamosum","Trsq",0,0,1,1,0,0,0,1.38629436111989,-2.30258509299405,-0.916290731874155,5.5,0,0,2,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"16",1,"sp27",0,"Arthrocnemum macrostachyum","Arma",1,0,0,0,0,1,0,1.94591014905531,-2.30258509299405,0,7,2,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"17",1,"sp49",0,"Ridolfia segetum","Rise",0,0,1,1,0,0,0,1.38629436111989,-2.99573227355399,0,6.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"18",1,"sp48",0,"Eryngium pusillum","Erpu",0,0,1,0,1,0,0,1.09861228866811,-2.30258509299405,-1.20397280432594,5,0,1,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"19",1,"sp12",0,"Schoenoplectus litoralis","Scli",1,0,0,0,0,1,0,1.38629436111989,-1.20397280432594,0.693147180559945,6.5,0,2,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"20",1,"sp37",0,"Convolvulus tricolor","Cotr",0,0,1,1,0,0,0,1.09861228866811,-1.6094379124341,-0.510825623765991,5,0,0,1,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"21",1,"sp23",0,"Phragmites australis","Phau",1,0,0,0,0,1,0,1.09861228866811,-0.510825623765991,2.07944154167984,8,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"22",1,"sp16",0,"Phalaris coerulescens","Phco",1,0,0,0,0,1,0,1.38629436111989,-0.693147180559945,0.182321556793955,5.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"23",1,"sp9",0,"Juncus maritimus","Juma",1,0,0,0,0,1,0,1.38629436111989,-0.693147180559945,0,7.5,0,2,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"24",1,"sp25",0,"Halimione portulacoides","Hapo",1,0,0,0,0,1,0,1.6094379124341,-1.6094379124341,-0.22314355131421,8,2,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"25",1,"sp42",0,"Cichorium intybus","Ciin",0,1,1,0,0,1,0,1.6094379124341,-1.20397280432594,0,8,0,0,1,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
